time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.953646,-78.829433,196.2,77,0
1,0,1,0.0,0.0,0,42.953636,-78.829416,196.2,82,0
2,0,1,2.11,1.29,0,42.953627,-78.829397,196.2,83,0
3,0,1,4.27,1.5,0,42.95362,-78.829377,196.3,84,0
4,0,1,6.49,1.7,0,42.953613,-78.829356,196.3,84,0
5,0,1,8.7,1.89,0,42.953607,-78.829333,196.3,84,0
6,0,1,10.92,1.95,0,42.953602,-78.82931,196.4,85,8
7,0,1,13.16,1.98,1,42.953598,-78.829285,196.4,85,3
8,0,1,15.38,2.02,1,42.953593,-78.829259,196.4,86,3
9,0,1,17.56,1.94,1,42.953588,-78.829233,196.5,86,3
10,0,1,19.75,1.8,1,42.953583,-78.829206,196.5,86,2
11,0,1,21.99,1.87,1,42.953577,-78.829179,196.6,86,3
12,0,1,24.27,2.08,2,42.95357,-78.829151,196.6,86,3
13,0,1,26.59,2.17,2,42.953562,-78.829123,196.5,89,2
14,0,1,28.93,2.23,2,42.953553,-78.829094,196.5,90,3
15,0,1,31.34,2.31,2,42.953542,-78.829066,196.5,93,3
16,0,1,33.79,2.47,2,42.95353,-78.829036,196.5,98,3
17,0,1,36.28,2.5,3,42.953518,-78.829007,196.4,97,3
18,0,1,38.79,2.46,3,42.953504,-78.828976,196.4,98,2
19,0,1,41.39,2.44,3,42.95349,-78.828944,196.4,98,3
20,0,1,44.08,2.76,3,42.953474,-78.828911,196.3,95,3
21,0,1,46.82,2.97,3,42.953459,-78.828877,196.3,96,3
22,0,1,49.6,2.97,4,42.953444,-78.828842,196.3,98,3
23,0,1,52.39,2.97,4,42.953429,-78.828807,196.2,102,2
24,0,1,55.18,2.97,4,42.953414,-78.828771,196.2,104,3
25,0,1,57.97,3.0,4,42.953402,-78.828734,196.2,105,3
26,0,1,60.76,3.02,4,42.95339,-78.828698,196.1,107,3
27,0,1,63.55,3.02,5,42.95338,-78.828661,196.1,109,3
28,0,1,66.34,3.03,5,42.95337,-78.828625,196.1,110,2
29,0,1,69.14,3.04,5,42.95336,-78.828589,196.1,111,3
30,0,1,71.93,3.04,5,42.95335,-78.828555,196.0,111,3
31,0,1,74.72,3.04,6,42.953339,-78.828523,196.0,112,3
32,0,1,77.52,3.05,6,42.953327,-78.828492,196.0,113,3
33,0,1,80.31,3.05,6,42.953314,-78.828463,196.1,115,2
34,0,1,83.11,3.05,6,42.9533,-78.828435,196.1,117,3
35,0,1,85.9,3.02,6,42.953285,-78.828407,196.2,118,3
36,0,1,88.7,2.99,7,42.953269,-78.82838,196.2,117,2
37,0,1,91.5,2.95,7,42.953253,-78.828352,196.3,118,3
38,0,1,94.3,2.93,7,42.953236,-78.828323,196.4,118,3
39,0,1,97.1,2.91,7,42.95322,-78.828293,196.5,120,3
40,0,1,99.9,2.89,8,42.953204,-78.828263,196.7,120,2
41,0,1,102.7,2.89,8,42.953188,-78.828233,196.8,119,3
42,0,1,105.5,2.89,8,42.953173,-78.828203,197.0,121,3
43,0,1,108.3,2.89,8,42.953158,-78.828173,197.1,121,3
44,0,1,111.1,2.88,8,42.953145,-78.828143,197.3,119,3
45,0,1,113.9,2.88,9,42.953132,-78.828113,197.4,119,2
46,0,1,116.7,2.88,9,42.95312,-78.828084,197.5,123,3
47,0,1,119.5,2.88,9,42.953109,-78.828055,197.6,126,3
48,0,1,122.3,2.88,9,42.953097,-78.828026,197.7,127,2
49,0,1,125.1,2.88,10,42.953086,-78.827997,197.9,127,3
50,0,1,127.9,2.87,10,42.953074,-78.827968,198.0,127,3
51,0,1,136.67,2.86,10,42.953062,-78.827939,198.1,128,3
52,0,1,139.5,2.85,11,42.95305,-78.827909,198.2,129,2
53,0,1,142.27,2.85,11,42.953038,-78.827879,198.3,131,3
54,0,1,144.95,2.84,11,42.953025,-78.827849,198.4,129,3
55,0,1,147.72,2.83,11,42.953013,-78.827819,198.5,132,2
56,0,1,147.72,2.83,11,42.953,-78.827789,198.6,135,3
57,0,1,147.72,2.83,11,42.952987,-78.827759,198.7,135,3
58,0,1,150.59,2.82,11,42.952974,-78.827728,198.8,135,2
59,0,1,153.31,2.82,12,42.952962,-78.827698,198.9,135,3
60,0,1,156.29,2.82,12,42.952949,-78.827667,199.0,138,3
61,0,1,156.29,2.82,12,42.952936,-78.827636,199.1,138,3
62,0,1,156.29,2.82,12,42.952924,-78.827605,199.2,134,3
63,0,1,159.21,2.83,12,42.952911,-78.827574,199.3,136,2
64,0,1,168.01,2.83,13,42.952899,-78.827543,199.4,136,3
65,0,1,170.65,2.83,13,42.952887,-78.827512,199.5,134,3
66,0,1,173.26,2.83,13,42.952874,-78.82748,199.6,135,3
67,0,1,177.63,2.83,13,42.952862,-78.827449,199.7,135,2
68,0,1,180.31,2.83,14,42.95285,-78.827418,199.8,135,3
69,0,1,183.11,2.83,14,42.952838,-78.827387,199.9,135,3
70,0,1,185.69,2.82,14,42.952825,-78.827356,200.0,136,2
71,0,1,188.65,2.82,14,42.952813,-78.827325,200.1,137,3
72,0,1,191.67,2.82,15,42.952801,-78.827294,200.2,137,3
73,0,1,193.61,2.82,15,42.952788,-78.827264,200.3,137,3
74,0,1,196.78,2.82,15,42.952776,-78.827234,200.4,137,2
75,0,1,199.84,2.82,15,42.952763,-78.827204,200.5,135,3
76,0,1,202.43,2.82,15,42.95275,-78.827174,200.6,137,3
77,0,1,205.44,2.82,16,42.952738,-78.827144,200.8,138,3
78,0,1,208.33,2.82,16,42.952724,-78.827115,200.9,137,2
79,0,1,211.04,2.82,16,42.952711,-78.827086,201.0,137,3
80,0,1,213.69,2.82,16,42.952698,-78.827056,201.1,138,3
81,0,1,213.69,2.82,16,42.952684,-78.827027,201.2,139,2
82,0,1,213.69,2.82,16,42.952671,-78.826997,201.4,138,3
83,0,1,216.5,2.82,17,42.952657,-78.826967,201.5,139,3
84,0,1,224.04,2.82,17,42.952643,-78.826937,201.6,139,3
85,0,1,227.07,2.82,17,42.952628,-78.826906,201.8,140,3
86,0,1,230.15,2.82,18,42.952614,-78.826875,201.9,140,2
87,0,1,233.14,2.82,18,42.952599,-78.826844,202.1,141,3
88,0,1,236.08,2.82,18,42.952585,-78.826812,202.2,142,3
89,0,1,239.17,2.82,18,42.95257,-78.82678,202.4,141,3
90,0,1,242.29,2.82,19,42.952555,-78.826748,202.5,141,2
91,0,1,245.62,2.82,19,42.95254,-78.826716,202.7,142,3
92,0,1,248.94,2.82,19,42.952525,-78.826684,202.8,140,3
93,0,1,251.79,2.82,19,42.952511,-78.826652,203.0,141,3
94,0,1,254.9,2.82,19,42.952496,-78.82662,203.1,141,2
95,0,1,257.96,2.82,20,42.952482,-78.826589,203.1,141,3
96,0,1,261.32,2.82,20,42.952468,-78.826559,203.1,141,3
97,0,1,264.09,2.82,20,42.952455,-78.826529,203.2,141,3
98,0,1,266.82,2.82,20,42.952442,-78.8265,203.2,140,2
99,0,1,269.88,2.82,21,42.95243,-78.826472,203.2,140,3
100,0,1,272.36,2.82,21,42.952418,-78.826444,203.2,142,3
101,0,1,274.82,2.82,21,42.952406,-78.826417,203.3,144,3
102,0,1,278.14,2.81,21,42.952394,-78.82639,203.3,143,2
103,0,1,280.72,2.81,22,42.952381,-78.826362,203.3,143,3
104,0,1,283.39,2.8,22,42.952369,-78.826334,203.3,143,3
105,0,1,286.31,2.8,22,42.952355,-78.826304,203.4,144,3
106,0,1,289.23,2.79,22,42.952341,-78.826274,203.4,141,2
107,0,1,292.12,2.79,22,42.952327,-78.826243,203.4,141,3
108,0,1,295.23,2.79,23,42.952313,-78.826212,203.4,140,3
109,0,1,298.02,2.79,23,42.952299,-78.826181,203.4,141,3
110,0,1,300.64,2.79,23,42.952286,-78.826152,203.5,140,3
111,0,1,304.06,2.79,23,42.952275,-78.826125,203.5,140,2
112,0,1,306.42,2.79,24,42.952266,-78.826099,203.5,141,3
113,0,1,308.61,2.79,24,42.952258,-78.826076,203.5,139,3
114,0,1,311.82,2.79,24,42.95225,-78.826054,203.5,140,3
115,0,1,314.07,2.79,24,42.952242,-78.826031,203.5,141,3
116,0,1,316.45,2.79,24,42.952232,-78.826008,203.5,141,2
117,0,1,318.57,2.79,25,42.952221,-78.825983,203.5,142,3
118,0,1,321.22,2.8,25,42.952207,-78.825955,203.6,142,3
119,0,1,324.17,2.8,25,42.952192,-78.825927,203.6,143,3
120,0,1,327.3,2.8,25,42.952175,-78.825897,203.6,143,2
121,0,1,330.53,2.8,25,42.952158,-78.825867,203.6,143,3
122,0,1,330.53,2.8,26,42.952141,-78.825837,203.6,143,3
123,0,1,330.53,2.8,26,42.952125,-78.825809,203.6,142,3
124,0,1,333.4,2.8,26,42.952111,-78.825783,203.7,140,3
125,0,1,336.14,2.8,26,42.952098,-78.825757,203.7,141,2
126,0,1,339.07,2.8,26,42.952084,-78.825731,203.8,141,3
127,0,1,344.62,2.81,27,42.952067,-78.825703,203.9,142,3
128,0,1,347.55,2.82,27,42.952049,-78.825674,203.9,143,3
129,0,1,350.66,2.82,27,42.952031,-78.825644,204.0,141,3
130,0,1,353.83,2.82,27,42.952015,-78.825615,204.1,141,2
131,0,1,356.9,2.83,28,42.952,-78.825586,204.1,140,3
132,0,1,360.0,2.83,28,42.951986,-78.825558,204.2,140,3
133,0,1,362.56,2.84,28,42.951974,-78.82553,204.2,141,3
134,0,1,365.08,2.84,28,42.951962,-78.825503,204.3,142,3
135,0,1,373.53,2.81,29,42.951951,-78.825475,204.3,143,2
136,0,1,376.08,2.83,29,42.951939,-78.825448,204.4,143,3
137,0,1,378.48,2.84,29,42.951926,-78.825423,204.4,144,3
138,0,1,381.29,2.84,29,42.951909,-78.825403,204.5,145,3
139,0,1,383.79,2.81,30,42.951885,-78.825392,204.5,145,2
140,0,1,383.79,2.84,30,42.951858,-78.825388,204.4,144,3
141,0,1,383.79,2.84,30,42.951829,-78.825393,204.4,143,3
142,0,1,386.66,2.85,30,42.951801,-78.825406,204.3,146,3
143,0,1,389.6,2.8,30,42.951775,-78.825426,204.2,143,2
144,0,1,394.49,2.8,30,42.95175,-78.825451,204.1,144,3
145,0,1,397.57,2.8,31,42.951726,-78.825479,204.0,142,3
146,0,1,400.68,2.8,31,42.951703,-78.82551,203.8,142,3
147,0,1,407.84,2.8,31,42.951681,-78.82554,203.7,141,3
148,0,1,417.84,2.8,32,42.951659,-78.82557,203.6,142,2
149,0,1,422.41,2.8,32,42.951638,-78.825598,203.6,143,3
150,0,1,425.86,2.81,33,42.951616,-78.825625,203.5,142,3
151,0,1,429.27,2.82,33,42.951596,-78.825651,203.5,145,3
152,0,1,432.71,2.83,33,42.951575,-78.825676,203.4,149,3
153,0,1,435.95,2.82,33,42.951554,-78.8257,203.3,151,2
154,0,1,438.96,2.81,34,42.951533,-78.825724,203.3,148,3
155,0,1,442.04,2.83,34,42.951513,-78.825748,203.2,148,3
156,0,1,445.08,2.84,34,42.951491,-78.825771,203.2,148,3
157,0,1,448.1,2.85,34,42.95147,-78.825794,203.1,147,3
