time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.949521,-78.832457,193.7,107,0
1,0,1,0.0,0.0,0,42.949551,-78.832471,193.6,112,0
2,0,1,4.67,2.03,0,42.949585,-78.832488,193.5,111,0
3,0,1,9.39,3.04,0,42.949624,-78.832506,193.4,109,0
4,0,1,14.18,3.66,1,42.949666,-78.832527,193.3,106,0
5,0,1,19.31,4.09,1,42.949711,-78.83255,193.2,106,0
6,0,1,24.67,4.79,1,42.949758,-78.832573,193.1,107,7
7,0,1,30.22,5.44,2,42.949808,-78.832597,192.9,107,2
8,0,1,35.92,5.89,2,42.949859,-78.832621,192.8,107,3
9,0,1,41.71,6.13,3,42.949911,-78.832645,192.7,107,3
10,0,1,47.55,6.14,3,42.949965,-78.832668,192.6,107,3
11,0,1,53.43,6.0,4,42.950018,-78.83269,192.6,107,4
12,0,1,59.33,5.9,4,42.950071,-78.83271,192.6,106,2
13,0,1,65.25,5.84,4,42.950124,-78.832729,192.7,107,3
14,0,1,71.16,5.73,5,42.950176,-78.832745,192.7,109,2
15,0,1,77.08,5.68,5,42.950227,-78.832759,192.8,110,3
16,0,1,83.05,5.72,6,42.950277,-78.832772,192.8,111,4
17,0,1,89.03,5.87,6,42.950327,-78.832784,192.8,112,3
18,0,1,95.0,5.87,7,42.950376,-78.832795,192.9,112,3
19,0,1,100.94,5.77,7,42.950424,-78.832806,192.9,114,3
20,0,1,106.83,5.59,8,42.950473,-78.832818,192.9,118,3
21,0,1,112.67,5.47,8,42.950521,-78.83283,193.0,119,4
22,0,1,118.47,5.32,9,42.950569,-78.832843,193.0,120,2
23,0,1,124.28,5.31,9,42.950618,-78.832858,193.0,120,3
24,0,1,130.09,5.39,9,42.950667,-78.832876,193.0,119,4
25,0,1,135.9,5.45,10,42.950716,-78.832895,193.0,120,3
26,0,1,141.71,5.5,10,42.950765,-78.832918,192.9,121,3
27,0,1,147.52,5.53,11,42.950815,-78.832943,192.9,120,2
28,0,1,153.33,5.57,11,42.950865,-78.832969,192.8,121,4
29,0,1,159.14,5.61,12,42.950915,-78.832997,192.6,122,4
30,0,1,164.95,5.62,12,42.950964,-78.833024,192.5,123,3
31,0,1,170.76,5.62,12,42.951013,-78.833052,192.4,125,3
32,0,1,176.57,5.63,13,42.951061,-78.833078,192.3,130,3
33,0,1,182.38,5.63,13,42.951108,-78.833103,192.3,131,3
34,0,1,188.19,5.62,14,42.951154,-78.833128,192.2,132,4
35,0,1,194.0,5.59,14,42.9512,-78.833153,192.1,135,3
