time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.953648,-78.829728,195.7,73,0
1,0,1,0.0,0.0,0,42.953656,-78.829739,195.7,74,0
2,0,1,1.98,1.22,0,42.953665,-78.82975,195.7,75,0
3,0,1,4.09,1.31,0,42.953676,-78.829764,195.7,74,0
4,0,1,6.12,1.45,0,42.953687,-78.829779,195.7,73,0
5,0,1,8.18,1.53,0,42.953699,-78.829795,195.7,73,0
6,0,1,10.31,1.65,0,42.953711,-78.829813,195.7,74,9
7,0,1,12.49,1.83,1,42.953724,-78.829832,195.7,76,3
8,0,1,14.73,1.94,1,42.953738,-78.829852,195.7,77,3
9,0,1,17.04,2.12,1,42.953752,-78.829873,195.7,77,3
10,0,1,19.41,2.23,1,42.953766,-78.829895,195.7,78,3
11,0,1,21.85,2.33,1,42.953781,-78.829917,195.8,78,3
12,0,1,24.35,2.45,2,42.953796,-78.829941,195.8,81,3
13,0,1,26.89,2.52,2,42.953812,-78.829966,195.8,84,3
14,0,1,29.47,2.58,2,42.953827,-78.829991,195.8,86,3
15,0,1,32.09,2.63,2,42.953843,-78.830016,195.8,87,3
16,0,1,34.74,2.63,2,42.953859,-78.830042,195.9,87,2
17,0,1,37.43,2.63,3,42.953874,-78.830069,195.9,90,3
18,0,1,40.16,2.69,3,42.95389,-78.830095,195.9,92,3
19,0,1,42.93,2.73,3,42.953906,-78.830122,196.0,93,3
20,0,1,45.74,2.73,3,42.953921,-78.830149,196.0,97,3
21,0,1,48.56,2.79,3,42.953937,-78.830177,196.0,97,3
22,0,1,51.39,2.73,4,42.953952,-78.830204,196.0,99,2
23,0,1,54.22,2.63,4,42.953966,-78.83023,196.1,102,3
24,0,1,57.05,2.59,4,42.95398,-78.830257,196.1,103,3
25,0,1,59.88,2.61,4,42.953994,-78.830284,196.1,103,3
26,0,1,62.71,2.61,5,42.954007,-78.83031,196.1,105,3
27,0,1,65.54,2.6,5,42.95402,-78.830335,196.1,109,3
28,0,1,68.37,2.61,5,42.954032,-78.83036,196.2,111,3
29,0,1,71.2,2.62,5,42.954043,-78.830384,196.2,114,2
30,0,1,74.03,2.62,5,42.954054,-78.830408,196.2,114,3
31,0,1,76.85,2.62,6,42.954064,-78.830432,196.2,118,3
32,0,1,79.68,2.6,6,42.954074,-78.830455,196.2,118,3
33,0,1,82.51,2.58,6,42.954084,-78.830478,196.2,120,2
34,0,1,85.33,2.55,6,42.954093,-78.830501,196.2,122,3
35,0,1,88.16,2.51,7,42.954102,-78.830524,196.2,124,3
36,0,1,90.98,2.49,7,42.954112,-78.830547,196.2,123,3
37,0,1,93.8,2.47,7,42.954121,-78.830571,196.2,127,2
38,0,1,96.62,2.45,7,42.954129,-78.830595,196.2,127,3
39,0,1,99.44,2.43,7,42.954138,-78.830619,196.2,129,3
40,0,1,102.25,2.41,8,42.954146,-78.830643,196.2,132,2
41,0,1,105.07,2.39,8,42.954153,-78.830668,196.2,133,3
42,0,1,107.88,2.36,8,42.954159,-78.830694,196.1,133,3
43,0,1,110.69,2.34,8,42.954164,-78.830719,196.1,134,3
44,0,1,113.5,2.32,9,42.954169,-78.830746,196.1,136,3
45,0,1,116.3,2.29,9,42.954172,-78.830773,196.1,138,2
46,0,1,119.11,2.28,9,42.954175,-78.8308,196.0,139,3
47,0,1,121.91,2.27,9,42.954177,-78.830828,196.0,140,3
