time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.95444,-78.834987,190.7,81,0
1,0,1,0.0,0.0,0,42.954448,-78.834988,190.7,79,0
2,0,1,1.08,0.9,0,42.954458,-78.83499,190.7,79,0
3,0,1,2.26,0.98,0,42.954469,-78.834994,190.7,79,0
4,0,1,3.84,1.07,0,42.954482,-78.834998,190.8,80,0
5,0,1,5.59,1.37,0,42.954497,-78.835004,190.8,80,0
6,0,1,7.45,1.57,0,42.954512,-78.835011,190.8,81,8
7,0,1,9.37,1.7,0,42.954528,-78.835019,190.9,83,3
8,0,1,11.34,1.76,0,42.954545,-78.835028,190.9,84,3
9,0,1,13.37,1.83,0,42.954563,-78.835037,191.0,85,2
10,0,1,15.43,1.85,1,42.95458,-78.835048,191.0,85,3
11,0,1,17.53,1.88,1,42.954599,-78.835058,191.1,84,3
12,0,1,19.68,1.95,1,42.954617,-78.83507,191.1,85,3
13,0,1,21.88,2.07,1,42.954635,-78.835081,191.2,88,3
14,0,1,24.12,2.17,1,42.954652,-78.835093,191.2,89,2
15,0,1,26.39,2.15,2,42.954669,-78.835105,191.3,90,3
16,0,1,28.67,2.14,2,42.954685,-78.835117,191.3,90,3
17,0,1,30.93,2.06,2,42.954701,-78.835129,191.3,94,3
18,0,1,33.11,1.87,2,42.954715,-78.835141,191.4,96,3
19,0,1,35.27,1.65,2,42.954729,-78.835153,191.4,97,3
20,0,1,37.41,1.59,2,42.954744,-78.835164,191.4,98,2
21,0,1,39.53,1.6,3,42.95476,-78.835176,191.5,101,3
22,0,1,41.67,1.64,3,42.954778,-78.835188,191.5,102,3
23,0,1,43.8,1.7,3,42.954798,-78.8352,191.6,104,3
24,0,1,45.93,1.75,3,42.954821,-78.835212,191.6,105,2
25,0,1,48.06,1.83,3,42.954845,-78.835224,191.7,105,3
26,0,1,50.19,1.94,3,42.95487,-78.835235,191.7,107,3
27,0,1,52.33,2.06,4,42.954895,-78.835247,191.8,107,3
28,0,1,54.47,2.17,4,42.954919,-78.835259,191.8,107,3
29,0,1,56.61,2.26,4,42.954943,-78.83527,191.9,108,3
30,0,1,58.74,2.32,4,42.954965,-78.835281,191.9,108,2
31,0,1,60.88,2.37,4,42.954986,-78.835291,192.0,109,3
32,0,1,63.02,2.41,4,42.955007,-78.835302,192.0,109,3
33,0,1,65.16,2.45,5,42.955026,-78.835312,191.9,109,3
34,0,1,67.31,2.48,5,42.955046,-78.835322,191.9,109,2
35,0,1,69.45,2.5,5,42.955065,-78.835332,191.9,111,3
36,0,1,71.6,2.49,5,42.955084,-78.835341,191.8,115,3
37,0,1,73.75,2.47,5,42.955102,-78.835351,191.8,116,3
38,0,1,75.89,2.46,5,42.955121,-78.83536,191.8,117,2
39,0,1,78.04,2.44,6,42.95514,-78.83537,191.7,118,3
40,0,1,80.19,2.43,6,42.95516,-78.835379,191.7,119,3
41,0,1,82.34,2.42,6,42.955179,-78.835389,191.7,119,3
42,0,1,84.49,2.4,6,42.955199,-78.835397,191.6,119,3
43,0,1,86.64,2.4,6,42.955219,-78.835405,191.6,119,2
44,0,1,88.79,2.39,7,42.955239,-78.835412,191.6,119,3
45,0,1,90.94,2.39,7,42.955259,-78.835418,191.5,120,3
46,0,1,93.09,2.38,7,42.955279,-78.835424,191.5,120,3
47,0,1,95.24,2.38,7,42.9553,-78.83543,191.5,120,2
48,0,1,97.39,2.37,7,42.95532,-78.835435,191.4,121,3
49,0,1,99.54,2.36,7,42.95534,-78.835441,191.4,121,3
50,0,1,101.69,2.36,8,42.95536,-78.835446,191.4,121,2
51,0,1,116.3,2.36,8,42.95538,-78.835453,191.3,121,3
52,0,1,118.62,2.36,8,42.955399,-78.835459,191.3,120,3
53,0,1,120.92,2.35,8,42.955419,-78.835467,191.3,118,2
54,0,1,123.23,2.35,9,42.955437,-78.835475,191.3,117,3
55,0,1,125.65,2.34,9,42.955455,-78.835485,191.2,118,3
56,0,1,125.65,2.34,9,42.955473,-78.835496,191.2,117,3
57,0,1,125.65,2.33,9,42.95549,-78.835508,191.2,118,3
58,0,1,127.76,2.33,9,42.955507,-78.83552,191.2,118,2
59,0,1,129.74,2.32,9,42.955524,-78.835534,191.1,118,3
60,0,1,131.89,2.31,9,42.955541,-78.835548,191.1,121,3
61,0,1,131.89,2.3,9,42.955558,-78.835562,191.1,121,2
62,0,1,131.89,2.29,9,42.955575,-78.835577,191.1,122,3
63,0,1,134.38,2.29,10,42.955592,-78.835592,191.1,123,3
