time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.954225,-78.833635,192.5,89,0
1,0,1,2.15,1.83,0,42.954233,-78.833659,192.4,89,0
2,0,1,4.28,1.86,0,42.954241,-78.833684,192.4,88,0
3,0,1,6.54,1.89,0,42.954248,-78.833711,192.3,89,0
4,0,1,8.93,2.04,0,42.954254,-78.833739,192.3,89,0
5,0,1,11.42,2.21,0,42.95426,-78.833769,192.3,90,8
6,0,1,13.97,2.42,1,42.954266,-78.833799,192.2,93,3
7,0,1,16.57,2.54,1,42.954271,-78.833831,192.2,93,3
8,0,1,19.22,2.64,1,42.954276,-78.833864,192.1,95,3
9,0,1,21.89,2.7,1,42.954281,-78.833897,192.1,98,3
10,0,1,24.58,2.7,2,42.954286,-78.83393,192.1,97,3
11,0,1,27.28,2.71,2,42.954292,-78.833964,192.0,97,3
12,0,1,30.01,2.67,2,42.954297,-78.833999,192.0,99,2
13,0,1,32.76,2.73,2,42.954303,-78.834033,191.9,100,3
14,0,1,35.54,2.74,2,42.954309,-78.834067,191.9,100,3
15,0,1,38.34,2.74,3,42.954315,-78.834101,191.9,101,3
16,0,1,41.14,2.72,3,42.954322,-78.834135,191.8,102,3
17,0,1,43.93,2.66,3,42.95433,-78.834168,191.8,104,3
18,0,1,46.73,2.57,3,42.954338,-78.834201,191.7,104,2
19,0,1,49.52,2.6,4,42.954348,-78.834232,191.7,107,3
20,0,1,52.28,2.48,4,42.954358,-78.834263,191.6,109,3
21,0,1,55.07,2.4,4,42.954368,-78.834293,191.6,111,3
22,0,1,57.86,2.55,4,42.954379,-78.834322,191.5,109,3
23,0,1,60.65,2.56,4,42.95439,-78.834351,191.5,111,3
24,0,1,63.44,2.58,5,42.954401,-78.83438,191.4,113,2
25,0,1,66.23,2.6,5,42.95441,-78.834409,191.4,115,3
26,0,1,69.02,2.61,5,42.954419,-78.834439,191.3,116,3
27,0,1,71.81,2.61,5,42.954427,-78.834468,191.3,116,3
28,0,1,74.6,2.61,6,42.954433,-78.834498,191.3,117,3
29,0,1,77.39,2.59,6,42.954437,-78.834528,191.2,121,2
30,0,1,80.18,2.56,6,42.954439,-78.834559,191.2,122,3
31,0,1,82.97,2.54,6,42.954439,-78.834589,191.2,126,3
32,0,1,85.76,2.54,6,42.954436,-78.83462,191.1,125,3
33,0,1,88.55,2.55,7,42.954431,-78.834651,191.1,127,3
34,0,1,91.34,2.56,7,42.954424,-78.834683,191.0,128,2
35,0,1,94.13,2.57,7,42.954417,-78.834716,191.0,127,3
36,0,1,96.92,2.58,7,42.95441,-78.834751,190.9,129,3
37,0,1,99.71,2.58,8,42.954406,-78.834785,190.9,130,3
38,0,1,102.5,2.59,8,42.954408,-78.834816,190.8,128,3
39,0,1,105.29,2.59,8,42.954416,-78.834841,190.8,128,2
40,0,1,108.08,2.59,8,42.954429,-78.834861,190.8,129,3
41,0,1,110.87,2.58,8,42.954448,-78.834878,190.8,131,2
42,0,1,113.66,2.58,9,42.95447,-78.834892,190.8,132,3
43,0,1,116.45,2.58,9,42.954495,-78.834906,190.9,133,3
44,0,1,119.24,2.59,9,42.954522,-78.834919,190.9,134,2
45,0,1,122.02,2.6,9,42.954548,-78.834933,191.0,135,3
46,0,1,124.81,2.62,10,42.954576,-78.834949,191.0,135,3
47,0,1,127.6,2.64,10,42.954603,-78.834965,191.1,134,3
48,0,1,130.38,2.67,10,42.95463,-78.834982,191.1,134,3
49,0,1,133.17,2.69,10,42.954658,-78.834999,191.2,134,3
50,0,1,134.34,2.7,10,42.954685,-78.835016,191.3,135,2
51,0,1,137.51,2.7,10,42.954711,-78.835032,191.3,135,3
52,0,1,140.78,2.71,11,42.954738,-78.835048,191.4,136,3
53,0,1,140.78,2.71,11,42.954764,-78.835063,191.5,137,3
54,0,1,140.78,2.72,11,42.954789,-78.835078,191.5,136,3
55,0,1,144.04,2.72,11,42.954814,-78.835093,191.6,137,3
56,0,1,146.55,2.73,11,42.954839,-78.835107,191.6,140,3
57,0,1,149.31,2.73,11,42.954864,-78.835121,191.7,141,2
58,0,1,152.22,2.73,12,42.954888,-78.835135,191.8,143,3
59,0,1,155.6,2.73,12,42.954913,-78.835148,191.8,144,3
60,0,1,158.77,2.74,12,42.954936,-78.835162,191.9,145,3
61,0,1,164.1,2.74,13,42.95496,-78.835175,191.9,144,3
62,0,1,170.06,2.75,13,42.954983,-78.835188,192.0,142,3
63,0,1,173.42,2.76,13,42.955006,-78.835201,192.0,140,3
64,0,1,176.09,2.77,14,42.955029,-78.835214,191.9,142,3
65,0,1,178.47,2.77,14,42.955052,-78.835227,191.9,141,3
66,0,1,180.77,2.77,14,42.955075,-78.83524,191.8,141,3
67,0,1,180.77,2.77,14,42.955098,-78.835252,191.8,140,3
68,0,1,180.77,2.76,14,42.955121,-78.835265,191.8,139,2
69,0,1,183.01,2.76,14,42.955144,-78.835277,191.7,140,3
70,0,1,186.49,2.75,14,42.955167,-78.835289,191.7,140,3
71,0,1,189.39,2.74,15,42.95519,-78.835301,191.6,143,3
72,0,1,192.52,2.74,15,42.955214,-78.835313,191.6,146,3
73,0,1,194.92,2.74,15,42.955239,-78.835324,191.5,145,3
74,0,1,197.76,2.74,15,42.955264,-78.835335,191.5,146,3
75,0,1,200.33,2.74,16,42.955289,-78.835345,191.4,145,2
76,0,1,204.03,2.74,16,42.955315,-78.835355,191.4,145,3
77,0,1,206.82,2.73,16,42.955342,-78.835365,191.4,143,3
78,0,1,209.87,2.73,16,42.955369,-78.835375,191.3,145,3
79,0,1,212.4,2.73,16,42.955395,-78.835386,191.3,145,3
80,0,1,215.2,2.73,17,42.955421,-78.835397,191.2,145,3
81,0,1,217.68,2.74,17,42.955447,-78.835409,191.2,148,3
82,0,1,221.39,2.73,17,42.955471,-78.835423,191.2,149,3
83,0,1,224.16,2.73,17,42.955495,-78.835437,191.1,149,2
84,0,1,226.98,2.73,18,42.955517,-78.835453,191.1,151,3
85,0,1,230.13,2.73,18,42.955538,-78.83547,191.1,152,3
86,0,1,232.91,2.73,18,42.955559,-78.835487,191.1,152,3
87,0,1,235.66,2.73,18,42.95558,-78.835504,191.0,152,3
88,0,1,239.23,2.73,19,42.955601,-78.835522,191.0,151,3
89,0,1,241.71,2.73,19,42.955623,-78.835538,191.0,151,2
90,0,1,244.33,2.73,19,42.955644,-78.835555,191.0,151,3
91,0,1,247.74,2.73,19,42.955666,-78.835571,190.9,151,3
92,0,1,250.43,2.73,19,42.955689,-78.835586,190.9,151,3
93,0,1,252.79,2.73,20,42.955712,-78.835601,190.9,152,3
94,0,1,255.86,2.73,20,42.955735,-78.835616,190.9,153,3
95,0,1,258.94,2.73,20,42.955758,-78.835631,190.9,153,2
96,0,1,261.81,2.73,20,42.955782,-78.835645,190.8,152,3
97,0,1,264.19,2.73,21,42.955806,-78.835659,190.8,151,3
98,0,1,267.16,2.73,21,42.955831,-78.835672,190.8,149,3
99,0,1,270.17,2.73,21,42.955855,-78.835685,190.8,150,3
100,0,1,272.83,2.73,21,42.95588,-78.835699,190.8,151,3
101,0,1,275.63,2.73,21,42.955906,-78.835711,190.8,149,3
102,0,1,278.4,2.73,22,42.955931,-78.835724,190.8,149,3
103,0,1,281.68,2.73,22,42.955957,-78.835737,190.7,149,2
104,0,1,284.75,2.73,22,42.955982,-78.83575,190.7,147,3
105,0,1,287.64,2.73,22,42.956007,-78.835762,190.7,145,3
106,0,1,290.75,2.73,23,42.956032,-78.835776,190.7,144,3
107,0,1,293.53,2.73,23,42.956056,-78.835789,190.7,142,3
108,0,1,296.18,2.73,23,42.956079,-78.835803,190.7,142,3
109,0,1,299.54,2.73,23,42.956101,-78.835817,190.7,140,2
110,0,1,302.31,2.73,24,42.956123,-78.835832,190.7,141,3
111,0,1,305.02,2.73,24,42.956146,-78.835846,190.6,140,3
112,0,1,307.52,2.73,24,42.956168,-78.83586,190.5,140,3
113,0,1,310.12,2.73,24,42.956192,-78.835873,190.5,140,3
114,0,1,312.65,2.73,24,42.956216,-78.835886,190.4,140,3
115,0,1,316.01,2.73,25,42.95624,-78.835899,190.4,141,3
116,0,1,318.81,2.73,25,42.956266,-78.835911,190.3,142,2
117,0,1,321.74,2.73,25,42.956292,-78.835923,190.2,143,3
118,0,1,324.82,2.73,25,42.956318,-78.835935,190.2,141,3
119,0,1,327.73,2.73,26,42.956345,-78.835946,190.1,142,3
120,0,1,330.66,2.73,26,42.956371,-78.835958,190.1,140,3
121,0,1,334.36,2.73,26,42.956398,-78.835969,190.0,141,3
122,0,1,337.26,2.73,26,42.956424,-78.835981,189.9,141,2
123,0,1,340.25,2.73,27,42.95645,-78.835993,189.9,140,3
124,0,1,343.38,2.74,27,42.956475,-78.836005,189.8,141,3
125,0,1,346.43,2.74,27,42.9565,-78.836018,189.8,140,3
126,0,1,349.26,2.74,27,42.956524,-78.836031,189.7,142,3
127,0,1,352.37,2.74,27,42.956548,-78.836044,189.6,142,3
128,0,1,354.96,2.74,28,42.95657,-78.836058,189.6,142,3
129,0,1,357.37,2.74,28,42.956593,-78.836072,189.5,142,2
130,0,1,360.75,2.74,28,42.956615,-78.836086,189.5,141,3
131,0,1,363.2,2.73,28,42.956636,-78.836101,189.4,141,3
132,0,1,365.67,2.73,29,42.956658,-78.836115,189.3,142,3
133,0,1,369.01,2.73,29,42.956679,-78.83613,189.3,146,3
134,0,1,371.43,2.73,29,42.9567,-78.836144,189.3,146,3
135,0,1,374.16,2.73,29,42.956721,-78.836158,189.3,146,2
136,0,1,376.61,2.73,29,42.956742,-78.836172,189.3,146,3
137,0,1,379.32,2.73,30,42.956764,-78.836186,189.3,146,3
138,0,1,381.98,2.73,30,42.956785,-78.836199,189.2,147,3
139,0,1,384.7,2.73,30,42.956808,-78.836212,189.2,150,3
140,0,1,387.28,2.73,30,42.95683,-78.836224,189.2,149,3
141,0,1,389.8,2.73,31,42.956853,-78.836236,189.2,150,2
142,0,1,393.32,2.73,31,42.956876,-78.836248,189.3,150,3
143,0,1,395.77,2.73,31,42.956899,-78.836259,189.3,149,3
144,0,1,398.36,2.73,31,42.956922,-78.836271,189.3,147,3
145,0,1,401.12,2.73,31,42.956946,-78.836282,189.3,146,3
146,0,1,403.65,2.73,32,42.956969,-78.836293,189.3,145,3
147,0,1,406.16,2.73,32,42.956992,-78.836305,189.3,142,3
148,0,1,409.13,2.73,32,42.957015,-78.836316,189.3,142,2
149,0,1,411.89,2.73,32,42.957038,-78.836327,189.3,141,3
150,0,1,414.72,2.73,33,42.957061,-78.836339,189.4,140,3
151,0,1,417.55,2.73,33,42.957084,-78.836351,189.4,139,3
152,0,1,420.08,2.73,33,42.957106,-78.836363,189.4,140,3
153,0,1,422.68,2.73,33,42.957128,-78.836376,189.4,141,3
154,0,1,426.0,2.73,33,42.957151,-78.836389,189.4,142,3
155,0,1,428.5,2.73,34,42.957173,-78.836401,189.5,141,2
156,0,1,430.92,2.73,34,42.957195,-78.836414,189.5,140,3
157,0,1,433.75,2.72,34,42.957217,-78.836427,189.5,139,3
158,0,1,436.21,2.72,34,42.957239,-78.836439,189.5,138,3
159,0,1,438.64,2.72,34,42.957262,-78.836452,189.6,139,3
160,0,1,441.39,2.72,35,42.957284,-78.836465,189.6,138,2
161,0,1,443.81,2.72,35,42.957307,-78.836478,189.6,140,3
162,0,1,446.26,2.72,35,42.95733,-78.836491,189.7,140,3
163,0,1,449.63,2.72,35,42.957353,-78.836505,189.7,142,3
164,0,1,452.3,2.72,36,42.957376,-78.836519,189.8,143,3
165,0,1,455.12,2.72,36,42.957399,-78.836533,189.8,144,3
166,0,1,457.76,2.72,36,42.957423,-78.836548,189.8,145,2
167,0,1,460.43,2.72,36,42.957446,-78.836563,189.9,145,3
168,0,1,463.12,2.72,36,42.95747,-78.836578,189.9,148,3
169,0,1,466.56,2.72,37,42.957494,-78.836593,190.0,149,3
170,0,1,469.24,2.72,37,42.957518,-78.836608,190.0,148,3
171,0,1,472.08,2.72,37,42.957542,-78.836623,189.9,148,3
172,0,1,475.44,2.72,37,42.957566,-78.836637,189.8,147,2
173,0,1,478.31,2.72,38,42.957591,-78.836651,189.8,148,3
174,0,1,481.13,2.72,38,42.957615,-78.836665,189.7,148,3
175,0,1,484.73,2.72,38,42.95764,-78.836677,189.7,151,3
176,0,1,487.82,2.72,38,42.957665,-78.83669,189.6,152,3
177,0,1,490.89,2.72,39,42.95769,-78.836701,189.5,152,3
178,0,1,493.74,2.72,39,42.957715,-78.836712,189.5,153,2
179,0,1,496.61,2.73,39,42.95774,-78.836723,189.4,150,3
180,0,1,499.61,2.73,39,42.957765,-78.836733,189.4,151,3
181,0,1,503.02,2.73,40,42.95779,-78.836743,189.3,149,3
182,0,1,506.07,2.73,40,42.957815,-78.836753,189.3,149,3
183,0,1,509.18,2.73,40,42.95784,-78.836762,189.2,150,3
184,0,1,512.47,2.73,40,42.957865,-78.836772,189.2,149,2
185,0,1,515.4,2.73,40,42.957889,-78.836782,189.1,148,3
186,0,1,518.07,2.73,41,42.957913,-78.836793,189.1,148,3
187,0,1,521.6,2.73,41,42.957938,-78.836803,189.0,148,3
188,0,1,524.49,2.73,41,42.957961,-78.836815,189.0,148,3
189,0,1,527.46,2.73,41,42.957985,-78.836826,189.0,150,2
190,0,1,529.76,2.73,42,42.958008,-78.836838,189.0,153,3
191,0,1,532.69,2.73,42,42.958031,-78.83685,188.9,151,3
192,0,1,535.61,2.73,42,42.958054,-78.836862,188.9,151,3
193,0,1,538.31,2.73,42,42.958076,-78.836874,188.9,151,3
194,0,1,541.31,2.73,43,42.958099,-78.836886,188.9,152,2
195,0,1,544.17,2.73,43,42.958121,-78.836898,188.9,153,3
196,0,1,547.04,2.73,43,42.958144,-78.83691,188.8,153,3
197,0,1,549.69,2.73,43,42.958166,-78.836921,188.8,152,3
198,0,1,552.35,2.73,43,42.958188,-78.836932,188.8,152,3
199,0,1,555.12,2.73,44,42.95821,-78.836942,188.8,148,2
200,0,1,557.65,2.73,44,42.958233,-78.836951,188.8,147,3
201,0,1,560.3,2.73,44,42.958254,-78.83696,188.8,145,3
202,0,1,562.77,2.73,44,42.958272,-78.836967,188.8,145,3
203,0,1,564.88,2.73,44,42.958287,-78.836972,188.8,145,2
204,0,1,566.28,2.73,45,42.958298,-78.836975,188.8,145,3
205,0,1,569.28,2.73,45,42.958302,-78.836975,188.8,146,3
