time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.952842,-78.823479,205.8,64,0
1,0,1,3.14,3.07,0,42.952843,-78.823449,205.8,69,0
2,0,1,6.01,2.97,0,42.952844,-78.823417,205.7,69,0
3,0,1,8.9,2.81,0,42.952845,-78.823384,205.7,70,0
4,0,1,11.84,2.72,0,42.952846,-78.823351,205.6,73,0
5,0,1,14.83,2.74,1,42.952846,-78.823316,205.6,74,8
6,0,1,17.84,2.78,1,42.952846,-78.82328,205.7,78,3
7,0,1,20.91,2.83,1,42.952846,-78.823243,205.8,80,3
8,0,1,24.0,2.9,1,42.952845,-78.823205,206.0,81,3
9,0,1,27.12,2.93,2,42.952845,-78.823167,206.1,82,3
10,0,1,30.29,2.96,2,42.952844,-78.823128,206.2,84,3
11,0,1,33.47,3.08,2,42.952844,-78.823088,206.3,86,3
12,0,1,36.69,3.07,2,42.952843,-78.823048,206.4,88,3
13,0,1,39.92,3.11,3,42.952842,-78.823008,206.5,91,2
14,0,1,43.18,3.09,3,42.952842,-78.822967,206.6,95,3
15,0,1,46.49,3.18,3,42.952841,-78.822926,206.8,97,3
16,0,1,49.86,3.32,3,42.952841,-78.822884,206.9,97,3
17,0,1,53.28,3.42,4,42.952841,-78.822843,207.0,98,3
18,0,1,56.71,3.47,4,42.952841,-78.822801,207.1,100,3
19,0,1,60.18,3.43,4,42.952841,-78.82276,207.2,102,3
20,0,1,63.63,3.44,4,42.952842,-78.822718,207.4,104,3
21,0,1,67.09,3.28,5,42.952843,-78.822677,207.5,104,2
22,0,1,70.55,3.28,5,42.952844,-78.822636,207.6,107,3
23,0,1,74.01,3.25,5,42.952845,-78.822596,207.7,107,3
24,0,1,77.46,3.25,5,42.952847,-78.822556,207.8,109,3
25,0,1,80.92,3.22,6,42.95285,-78.822516,208.0,112,3
26,0,1,84.37,3.22,6,42.952853,-78.822477,208.1,113,3
27,0,1,87.83,3.2,6,42.952856,-78.822438,208.3,114,3
28,0,1,91.28,3.2,6,42.952859,-78.822399,208.4,116,3
29,0,1,94.73,3.2,7,42.952862,-78.82236,208.6,116,3
30,0,1,98.18,3.2,7,42.952865,-78.82232,208.8,116,3
31,0,1,101.63,3.19,7,42.952867,-78.822281,209.0,120,3
32,0,1,105.09,3.19,7,42.95287,-78.822241,209.1,122,3
33,0,1,108.54,3.19,8,42.952872,-78.822201,209.3,121,3
34,0,1,111.99,3.19,8,42.952874,-78.82216,209.5,123,3
35,0,1,115.44,3.2,8,42.952875,-78.822119,209.7,124,3
36,0,1,118.89,3.2,9,42.952877,-78.822079,209.8,125,2
37,0,1,122.34,3.21,9,42.952878,-78.822038,210.0,126,3
