time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.954214,-78.830731,196.0,81,0
1,0,1,0.0,0.0,0,42.954218,-78.830756,196.0,84,0
2,0,1,2.3,1.37,0,42.954222,-78.830782,195.9,84,0
3,0,1,4.96,1.63,0,42.954226,-78.830809,195.9,86,0
4,0,1,7.63,1.94,0,42.954231,-78.830837,195.8,86,0
5,0,1,10.38,2.12,0,42.954236,-78.830867,195.8,86,0
6,0,1,13.2,2.36,1,42.954241,-78.830897,195.7,86,8
7,0,1,16.05,2.58,1,42.954245,-78.830928,195.6,84,3
8,0,1,18.91,2.67,1,42.95425,-78.830961,195.5,84,2
9,0,1,21.78,2.66,1,42.954254,-78.830995,195.4,86,3
10,0,1,24.67,2.64,1,42.954258,-78.83103,195.3,87,3
11,0,1,27.61,2.72,2,42.954261,-78.831066,195.2,88,3
12,0,1,30.58,2.88,2,42.954264,-78.831103,195.2,89,2
13,0,1,33.56,2.9,2,42.954266,-78.831142,195.1,90,3
14,0,1,36.56,2.86,2,42.954268,-78.831181,195.0,89,3
15,0,1,39.57,2.9,3,42.954269,-78.831222,194.9,88,3
16,0,1,42.58,2.86,3,42.954269,-78.831265,194.8,90,2
17,0,1,45.6,2.84,3,42.954269,-78.831308,194.7,90,3
18,0,1,48.65,2.81,3,42.954268,-78.831352,194.6,91,3
19,0,1,51.75,2.96,4,42.954267,-78.831396,194.5,92,3
20,0,1,54.92,3.13,4,42.954265,-78.831441,194.4,93,3
21,0,1,58.15,3.28,4,42.954263,-78.831487,194.3,95,3
22,0,1,61.45,3.43,4,42.954262,-78.831533,194.2,96,3
23,0,1,64.75,3.54,5,42.95426,-78.831579,194.1,97,3
24,0,1,68.12,3.57,5,42.954258,-78.831625,194.0,98,3
25,0,1,71.54,3.58,5,42.954257,-78.831671,193.9,100,3
26,0,1,75.02,3.61,5,42.954256,-78.831716,193.8,102,2
27,0,1,78.54,3.65,6,42.954256,-78.831761,193.8,104,3
28,0,1,82.08,3.67,6,42.954256,-78.831806,193.7,107,3
29,0,1,85.63,3.67,6,42.954257,-78.83185,193.6,108,3
30,0,1,89.19,3.67,6,42.954258,-78.831893,193.6,109,3
31,0,1,92.76,3.67,7,42.954259,-78.831936,193.5,111,3
32,0,1,96.35,3.67,7,42.954261,-78.831978,193.5,118,3
33,0,1,99.94,3.67,7,42.954263,-78.83202,193.4,119,2
34,0,1,103.52,3.66,7,42.954265,-78.832062,193.4,124,3
35,0,1,107.08,3.64,8,42.954267,-78.832103,193.3,125,3
36,0,1,110.61,3.61,8,42.954269,-78.832144,193.2,127,3
37,0,1,114.11,3.58,8,42.954271,-78.832185,193.2,130,3
38,0,1,117.55,3.53,8,42.954272,-78.832225,193.1,132,3
39,0,1,120.95,3.49,9,42.954273,-78.832265,193.1,134,3
40,0,1,124.31,3.44,9,42.954274,-78.832305,193.0,142,3
41,0,1,127.66,3.39,9,42.954275,-78.832345,193.0,144,3
42,0,1,131.02,3.37,9,42.954274,-78.832385,192.9,146,2
43,0,1,134.35,3.35,10,42.954274,-78.832425,192.8,150,3
44,0,1,137.67,3.33,10,42.954273,-78.832464,192.8,150,3
45,0,1,141.0,3.32,10,42.954271,-78.832504,192.7,150,3
46,0,1,144.33,3.3,10,42.95427,-78.832543,192.7,150,3
47,0,1,147.66,3.29,11,42.954268,-78.832583,192.7,155,3
48,0,1,150.99,3.29,11,42.954266,-78.832622,192.7,158,3
49,0,1,154.32,3.28,11,42.954265,-78.832662,192.7,159,3
50,0,1,157.65,3.28,12,42.954263,-78.832702,192.7,160,3
51,0,1,164.58,3.28,12,42.954262,-78.832742,192.7,162,2
52,0,1,167.86,3.28,12,42.95426,-78.832783,192.7,163,3
53,0,1,171.06,3.28,13,42.95426,-78.832823,192.7,163,3
54,0,1,174.25,3.28,13,42.954259,-78.832864,192.7,164,3
55,0,1,177.3,3.28,13,42.954259,-78.832906,192.7,165,3
56,0,1,177.3,3.28,13,42.95426,-78.832947,192.7,168,3
57,0,1,177.3,3.28,13,42.954261,-78.832989,192.7,171,2
58,0,1,180.55,3.28,13,42.954262,-78.833031,192.7,171,4
59,0,1,183.55,3.28,14,42.954264,-78.833073,192.7,171,2
60,0,1,186.72,3.27,14,42.954265,-78.833115,192.7,171,3
61,0,1,186.72,3.27,14,42.954267,-78.833157,192.7,170,3
62,0,1,186.72,3.27,14,42.95427,-78.833198,192.6,170,2
63,0,1,189.69,3.27,14,42.954272,-78.833239,192.6,170,4
64,0,1,198.98,3.27,15,42.954274,-78.83328,192.6,170,3
65,0,1,202.4,3.26,15,42.954276,-78.833321,192.6,169,3
66,0,1,205.51,3.26,15,42.954278,-78.833361,192.6,168,2
67,0,1,209.8,3.26,15,42.95428,-78.8334,192.5,168,3
68,0,1,212.85,3.26,16,42.954282,-78.833439,192.5,169,3
69,0,1,215.83,3.25,16,42.954284,-78.833477,192.5,167,3
70,0,1,219.84,3.25,16,42.954285,-78.833514,192.4,167,3
71,0,1,223.09,3.25,16,42.954286,-78.833551,192.4,168,3
72,0,1,226.25,3.25,17,42.954287,-78.833587,192.4,168,3
73,0,1,229.82,3.25,17,42.954287,-78.833624,192.3,167,3
74,0,1,232.84,3.24,17,42.954288,-78.83366,192.3,168,2
75,0,1,235.64,3.24,17,42.954288,-78.833696,192.3,166,3
76,0,1,239.32,3.24,18,42.954287,-78.833732,192.2,166,3
77,0,1,242.24,3.24,18,42.954287,-78.833769,192.2,167,3
78,0,1,245.18,3.23,18,42.954286,-78.833806,192.2,165,3
79,0,1,248.05,3.23,18,42.954284,-78.833844,192.1,164,3
80,0,1,250.8,3.23,18,42.954283,-78.833883,192.1,164,3
81,0,1,253.67,3.23,19,42.954281,-78.833922,192.1,165,2
82,0,1,257.08,3.23,19,42.954279,-78.833962,192.0,165,3
83,0,1,260.36,3.22,19,42.954276,-78.834002,192.0,164,3
84,0,1,263.89,3.22,19,42.954274,-78.834041,192.0,165,2
85,0,1,266.41,3.22,20,42.954272,-78.834076,192.0,164,2
86,0,1,268.93,3.22,20,42.954271,-78.834108,191.9,164,3
87,0,1,271.6,3.22,20,42.954271,-78.834137,191.9,164,3
88,0,1,275.97,3.22,20,42.954272,-78.834164,191.9,163,3
89,0,1,278.1,3.21,21,42.954274,-78.83419,191.8,162,3
90,0,1,280.15,3.21,21,42.954278,-78.834215,191.8,161,2
91,0,1,282.34,3.2,21,42.954282,-78.83424,191.7,161,3
92,0,1,284.66,3.19,21,42.954288,-78.834265,191.7,163,3
93,0,1,284.66,3.19,21,42.954294,-78.83429,191.6,165,3
94,0,1,284.66,3.18,21,42.954301,-78.834316,191.6,163,3
95,0,1,287.32,3.16,21,42.954309,-78.834342,191.5,162,3
96,0,1,289.64,3.13,22,42.954316,-78.834369,191.5,164,3
97,0,1,292.43,3.05,22,42.954322,-78.834396,191.4,166,2
98,0,1,296.11,2.98,22,42.954327,-78.834425,191.4,166,3
99,0,1,298.92,2.9,22,42.95433,-78.834455,191.3,167,3
100,0,1,301.84,2.84,22,42.954331,-78.834486,191.3,166,3
101,0,1,309.58,2.82,23,42.954328,-78.834519,191.2,165,3
102,0,1,312.45,2.83,23,42.954322,-78.834553,191.1,166,3
103,0,1,315.31,2.83,23,42.954313,-78.834588,191.1,165,3
104,0,1,319.08,2.83,24,42.954302,-78.834621,191.0,165,3
105,0,1,322.05,2.83,24,42.954289,-78.834653,190.9,163,2
106,0,1,325.09,2.83,24,42.954276,-78.834681,190.9,163,3
107,0,1,328.03,2.83,24,42.954263,-78.834704,190.8,163,3
108,0,1,328.03,2.83,24,42.95425,-78.834722,190.8,162,3
109,0,1,328.03,2.83,24,42.954239,-78.834735,190.7,163,3
110,0,1,329.21,2.83,25,42.954227,-78.834743,190.7,164,3
111,0,1,335.98,2.83,25,42.954215,-78.834746,190.7,164,3
112,0,1,340.37,2.83,25,42.954203,-78.834746,190.7,165,3
113,0,1,342.83,2.83,26,42.95419,-78.834742,190.6,165,2
114,0,1,345.2,2.82,26,42.954175,-78.834735,190.6,163,3
115,0,1,347.55,2.81,26,42.954159,-78.834725,190.7,163,3
116,0,1,349.68,2.79,26,42.954141,-78.834714,190.7,163,3
117,0,1,351.5,2.74,26,42.954122,-78.834702,190.7,164,3
118,0,1,353.47,2.66,26,42.954101,-78.834689,190.8,164,3
119,0,1,353.47,2.55,26,42.95408,-78.834676,190.8,164,3
120,0,1,359.76,2.43,27,42.954058,-78.834663,190.9,165,3
121,0,1,363.89,2.36,27,42.954035,-78.834652,190.9,169,3
122,0,1,366.79,2.34,27,42.954013,-78.834643,191.0,171,2
123,0,1,369.74,2.38,28,42.95399,-78.834635,191.0,172,3
124,0,1,372.53,2.4,28,42.953966,-78.834628,191.0,174,3
125,0,1,375.42,2.4,28,42.953943,-78.834621,191.1,175,3
126,0,1,378.3,2.4,28,42.953919,-78.834615,191.1,175,3
127,0,1,380.75,2.4,29,42.953894,-78.834608,191.1,175,3
128,0,1,383.3,2.4,29,42.95387,-78.8346,191.1,175,3
129,0,1,385.85,2.4,29,42.953845,-78.834591,191.2,175,3
130,0,1,388.94,2.4,29,42.95382,-78.83458,191.2,174,3
131,0,1,391.75,2.4,29,42.953794,-78.834568,191.3,174,3
132,0,1,394.51,2.4,30,42.953766,-78.834553,191.3,174,3
133,0,1,397.67,2.4,30,42.953736,-78.834537,191.3,175,2
134,0,1,401.38,2.4,30,42.953704,-78.834519,191.4,175,4
135,0,1,404.36,2.4,30,42.95367,-78.834499,191.4,174,2
136,0,1,407.64,2.41,31,42.953634,-78.834477,191.5,175,3
137,0,1,411.17,2.41,31,42.953596,-78.834454,191.5,174,3
138,0,1,414.89,2.41,31,42.953557,-78.83443,191.6,174,3
139,0,1,414.89,2.43,31,42.953518,-78.834406,191.6,174,3
140,0,1,414.89,2.48,31,42.953479,-78.834382,191.7,173,3
141,0,1,418.8,2.55,32,42.953442,-78.834359,191.7,173,3
142,0,1,422.74,2.63,32,42.953406,-78.834337,191.8,171,3
143,0,1,426.71,2.72,32,42.953372,-78.834316,191.8,171,3
144,0,1,430.71,2.79,32,42.953339,-78.834296,191.8,172,3
145,0,1,430.71,2.78,32,42.953307,-78.834277,191.8,172,3
146,0,1,430.71,2.75,32,42.953276,-78.834259,191.8,173,3
147,0,1,434.59,2.74,33,42.953245,-78.834241,191.8,173,3
148,0,1,438.26,2.75,33,42.953216,-78.834225,191.8,173,3
149,0,1,441.9,2.81,33,42.953187,-78.834209,191.8,172,3
150,0,1,445.23,2.93,33,42.953158,-78.834194,191.8,171,3
151,0,1,453.56,3.06,34,42.95313,-78.834179,191.7,173,3
152,0,1,456.76,3.35,34,42.953102,-78.834165,191.7,175,3
153,0,1,459.91,3.33,34,42.953075,-78.834151,191.7,175,2
154,0,1,463.08,3.29,35,42.953047,-78.834137,191.7,175,3
155,0,1,466.14,3.26,35,42.95302,-78.834124,191.7,173,3
156,0,1,473.83,3.23,35,42.952993,-78.834111,191.8,174,3
157,0,1,476.41,3.18,36,42.952965,-78.834097,191.8,174,3
158,0,1,479.24,3.13,36,42.952938,-78.834084,191.8,174,3
159,0,1,482.21,3.11,36,42.952911,-78.834071,191.8,174,3
160,0,1,485.22,3.1,36,42.952884,-78.834057,191.8,173,3
161,0,1,490.8,3.09,37,42.952856,-78.834043,191.8,175,3
162,0,1,493.73,3.08,37,42.952828,-78.834029,191.8,174,3
163,0,1,496.45,3.08,37,42.9528,-78.834014,191.8,173,3
164,0,1,506.25,3.08,38,42.952772,-78.833999,191.9,171,3
165,0,1,509.17,3.07,38,42.952744,-78.833983,191.9,169,3
