time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.953733,-78.82941,196.5,132,0
1,0,1,3.15,1.04,0,42.953727,-78.829364,196.6,132,0
2,0,1,6.76,1.84,0,42.953719,-78.829319,196.6,134,0
3,0,1,10.65,2.51,0,42.95371,-78.829274,196.7,133,0
4,0,1,14.62,3.1,1,42.953699,-78.829229,196.8,133,0
5,0,1,18.66,3.46,1,42.953688,-78.829185,196.8,134,8
6,0,1,22.75,3.69,1,42.953675,-78.829141,196.8,134,3
7,0,1,26.88,3.86,1,42.953662,-78.829098,196.8,134,3
8,0,1,31.04,3.99,2,42.953647,-78.829055,196.8,134,3
9,0,1,35.19,4.02,2,42.953632,-78.829012,196.7,134,3
10,0,1,39.35,3.96,2,42.953616,-78.828969,196.7,134,3
11,0,1,43.5,3.93,3,42.953599,-78.828927,196.6,134,3
12,0,1,47.64,3.93,3,42.953582,-78.828884,196.6,135,3
13,0,1,51.75,3.83,3,42.953565,-78.828842,196.6,135,3
14,0,1,55.86,3.77,3,42.953547,-78.8288,196.5,135,3
15,0,1,59.97,3.8,4,42.953529,-78.828757,196.5,136,2
16,0,1,64.07,3.8,4,42.95351,-78.828714,196.4,137,3
17,0,1,68.18,3.81,4,42.953492,-78.828672,196.4,138,3
18,0,1,72.31,3.85,5,42.953474,-78.828629,196.3,139,3
19,0,1,76.45,3.97,5,42.953455,-78.828586,196.3,140,3
20,0,1,80.61,3.95,5,42.953436,-78.828544,196.2,142,3
21,0,1,84.78,3.99,6,42.953417,-78.828502,196.2,142,3
22,0,1,88.96,4.04,6,42.953398,-78.828461,196.2,143,3
23,0,1,93.14,4.06,6,42.953378,-78.828421,196.1,144,3
24,0,1,97.32,4.07,6,42.953358,-78.828382,196.1,145,3
25,0,1,101.5,4.06,7,42.953337,-78.828344,196.0,146,3
26,0,1,105.67,4.05,7,42.953316,-78.828307,196.2,147,3
27,0,1,109.85,4.04,7,42.953295,-78.828271,196.4,147,3
28,0,1,114.02,4.02,8,42.953274,-78.828235,196.6,145,3
29,0,1,118.2,4.0,8,42.953253,-78.8282,196.7,145,3
30,0,1,122.37,3.99,8,42.953233,-78.828164,196.9,144,3
31,0,1,126.54,3.97,8,42.953213,-78.828129,197.1,144,3
32,0,1,130.72,3.93,9,42.953194,-78.828094,197.3,145,2
33,0,1,134.89,3.9,9,42.953176,-78.828058,197.4,146,3
34,0,1,139.06,3.87,9,42.953158,-78.828022,197.6,148,3
35,0,1,143.23,3.84,10,42.953141,-78.827986,197.8,147,3
36,0,1,147.4,3.82,10,42.953125,-78.82795,197.9,147,3
37,0,1,151.56,3.81,10,42.953109,-78.827914,198.0,148,3
38,0,1,155.73,3.79,11,42.953093,-78.827878,198.2,148,3
39,0,1,159.9,3.78,11,42.953078,-78.827842,198.3,150,3
40,0,1,164.06,3.77,11,42.953063,-78.827807,198.5,150,3
41,0,1,168.23,3.75,11,42.953048,-78.827771,198.6,151,3
42,0,1,172.39,3.72,12,42.953033,-78.827736,198.7,153,3
43,0,1,176.55,3.7,12,42.953019,-78.827701,198.8,152,3
44,0,1,180.71,3.67,12,42.953004,-78.827666,199.0,153,2
45,0,1,184.87,3.64,13,42.95299,-78.827631,199.1,153,3
46,0,1,189.02,3.6,13,42.952975,-78.827597,199.2,155,3
47,0,1,193.18,3.55,13,42.95296,-78.827564,199.3,156,3
48,0,1,197.33,3.5,14,42.952944,-78.827531,199.4,157,3
49,0,1,201.48,3.47,14,42.952929,-78.827498,199.5,156,3
50,0,1,202.01,3.44,14,42.952913,-78.827466,199.6,156,3
51,0,1,205.39,3.41,14,42.952897,-78.827434,199.7,156,3
52,0,1,208.75,3.38,14,42.95288,-78.827402,199.8,159,2
53,0,1,211.99,3.38,15,42.952864,-78.827371,199.9,158,3
54,0,1,215.26,3.37,15,42.952847,-78.827339,200.0,156,3
55,0,1,215.26,3.37,15,42.95283,-78.827307,200.1,155,3
