time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.9542,-78.830548,196.2,71,0
1,0,1,0.0,0.0,0,42.954208,-78.830547,196.2,76,0
2,0,1,2.02,0.8,0,42.954215,-78.830549,196.2,77,0
3,0,1,3.95,1.13,0,42.954222,-78.830555,196.2,77,0
4,0,1,5.52,1.3,0,42.954227,-78.830564,196.2,77,0
5,0,1,6.9,1.24,0,42.954231,-78.830575,196.1,77,0
6,0,1,8.17,1.12,0,42.954235,-78.83059,196.1,79,0
7,0,1,9.39,0.99,0,42.954238,-78.830607,196.1,80,8
8,0,1,10.71,1.02,0,42.954241,-78.830627,196.0,80,2
9,0,1,12.14,1.23,0,42.954243,-78.830649,196.0,81,3
10,0,1,13.64,1.36,1,42.954245,-78.830673,196.0,82,2
11,0,1,15.22,1.5,1,42.954247,-78.830699,196.0,82,3
12,0,1,16.9,1.67,1,42.954248,-78.830727,195.9,84,3
13,0,1,18.69,1.88,1,42.954249,-78.830757,195.9,85,3
14,0,1,20.59,2.03,1,42.954251,-78.830788,195.8,87,3
15,0,1,22.58,2.2,1,42.954252,-78.830821,195.8,88,3
16,0,1,24.68,2.29,1,42.954254,-78.830855,195.7,88,2
17,0,1,26.92,2.49,2,42.954256,-78.83089,195.7,90,3
18,0,1,29.3,2.67,2,42.954258,-78.830925,195.6,94,3
19,0,1,31.81,2.87,2,42.954261,-78.830962,195.5,95,3
20,0,1,34.42,3.06,2,42.954264,-78.830999,195.4,97,3
21,0,1,37.09,3.13,2,42.954268,-78.831037,195.3,100,3
22,0,1,39.81,3.04,3,42.954273,-78.831074,195.2,105,3
23,0,1,42.52,2.93,3,42.954279,-78.831112,195.1,109,3
24,0,1,45.23,2.96,3,42.954285,-78.83115,195.0,110,2
25,0,1,47.94,2.97,3,42.954291,-78.831188,194.9,111,3
26,0,1,50.65,2.99,4,42.954298,-78.831227,194.8,112,3
27,0,1,53.37,3.01,4,42.954304,-78.831265,194.7,113,3
28,0,1,56.09,3.02,4,42.954309,-78.831304,194.6,114,3
29,0,1,58.8,3.04,4,42.954314,-78.831343,194.5,114,3
30,0,1,61.52,3.03,5,42.954318,-78.831383,194.4,117,3
31,0,1,64.24,3.04,5,42.95432,-78.831422,194.3,118,3
32,0,1,66.96,3.05,5,42.954321,-78.831462,194.3,120,3
33,0,1,69.68,3.06,5,42.95432,-78.831503,194.2,124,3
34,0,1,72.4,3.08,6,42.954316,-78.831544,194.1,125,3
35,0,1,75.12,3.1,6,42.954312,-78.831585,194.0,126,3
36,0,1,77.85,3.11,6,42.954306,-78.831627,193.9,125,3
37,0,1,80.67,3.11,6,42.954299,-78.831669,193.8,123,3
38,0,1,83.58,3.13,7,42.954293,-78.831712,193.8,123,2
39,0,1,86.56,3.15,7,42.954287,-78.831755,193.7,123,3
40,0,1,89.62,3.18,7,42.954282,-78.831799,193.7,123,3
41,0,1,92.74,3.21,7,42.954279,-78.831843,193.6,124,3
42,0,1,95.9,3.24,8,42.954276,-78.831887,193.6,122,3
43,0,1,99.11,3.25,8,42.954273,-78.83193,193.5,122,3
