time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.953823,-78.829313,196.9,69,0
1,0,1,0.0,0.0,0,42.953822,-78.829307,196.9,70,0
2,0,1,1.07,0.67,0,42.953819,-78.829296,196.9,71,0
3,0,1,2.64,0.85,0,42.953815,-78.829282,197.0,72,0
4,0,1,4.34,1.02,0,42.953809,-78.829265,197.0,74,0
5,0,1,6.13,1.27,0,42.953801,-78.829245,197.0,76,0
6,0,1,7.98,1.47,0,42.953793,-78.829223,197.0,78,8
7,0,1,9.93,1.65,0,42.953783,-78.829198,197.0,78,3
8,0,1,11.99,1.84,0,42.953773,-78.829172,197.0,79,3
9,0,1,14.15,2.07,1,42.953763,-78.829145,197.0,79,3
10,0,1,16.41,2.27,1,42.953752,-78.829117,197.0,80,2
11,0,1,18.75,2.46,1,42.953741,-78.829089,197.0,80,3
12,0,1,21.16,2.51,1,42.953731,-78.829062,197.0,84,3
13,0,1,23.61,2.59,1,42.953721,-78.829035,196.9,84,3
14,0,1,26.08,2.48,2,42.953712,-78.829009,196.9,83,2
15,0,1,28.55,2.35,2,42.953704,-78.828986,196.9,84,3
16,0,1,31.01,2.29,2,42.953697,-78.828964,196.9,86,3
17,0,1,33.39,2.14,2,42.953691,-78.828944,196.9,87,3
18,0,1,35.63,1.78,2,42.953687,-78.828928,196.8,89,2
19,0,1,37.7,1.48,2,42.953685,-78.828914,196.8,90,3
20,0,1,39.61,1.17,3,42.953685,-78.828902,196.8,91,3
21,0,1,41.42,0.94,3,42.953687,-78.828892,196.8,91,3
22,0,1,43.11,0.9,3,42.953691,-78.828883,196.9,92,2
23,0,1,44.8,0.82,3,42.953697,-78.828874,196.9,94,3
24,0,1,46.49,0.82,3,42.953706,-78.828866,196.9,95,3
25,0,1,48.18,0.82,3,42.953718,-78.828858,196.9,95,2
26,0,1,49.87,0.82,3,42.953732,-78.828849,197.0,96,3
27,0,1,51.56,0.83,3,42.953748,-78.828839,197.0,97,3
28,0,1,53.25,0.83,3,42.953768,-78.828828,197.0,98,3
29,0,1,54.94,0.83,4,42.953788,-78.828816,197.1,99,3
30,0,1,56.63,0.84,4,42.95381,-78.828803,197.1,101,2
31,0,1,58.33,0.85,4,42.953832,-78.82879,197.2,101,3
32,0,1,60.02,0.86,4,42.953855,-78.828775,197.3,102,3
33,0,1,61.72,0.87,4,42.953876,-78.82876,197.3,103,3
34,0,1,63.41,0.88,4,42.953897,-78.828744,197.4,104,2
35,0,1,65.11,0.89,4,42.953915,-78.828727,197.4,105,3
36,0,1,66.81,0.92,4,42.953932,-78.82871,197.4,107,3
37,0,1,68.52,0.99,4,42.953948,-78.828693,197.5,109,2
38,0,1,70.22,1.13,5,42.953962,-78.828676,197.5,110,3
39,0,1,71.93,1.32,5,42.953975,-78.82866,197.5,112,3
40,0,1,73.64,1.53,5,42.953988,-78.828644,197.6,114,3
41,0,1,75.35,1.69,5,42.954,-78.828629,197.6,115,2
42,0,1,77.06,1.84,5,42.954013,-78.828612,197.6,116,3
43,0,1,78.78,2.0,5,42.954029,-78.828594,197.7,117,3
44,0,1,80.49,2.12,5,42.954046,-78.828572,197.7,119,3
45,0,1,82.21,2.24,5,42.954066,-78.828551,197.8,122,3
46,0,1,83.93,2.27,5,42.954086,-78.828533,197.8,121,2
47,0,1,85.66,2.32,5,42.954107,-78.828521,197.9,124,3
48,0,1,87.39,2.35,6,42.954128,-78.828519,197.9,124,3
49,0,1,89.12,2.33,6,42.954147,-78.828525,198.0,123,3
50,0,1,90.85,2.33,6,42.954166,-78.828538,198.0,126,3
51,0,1,91.29,2.35,6,42.954183,-78.828556,198.0,126,2
52,0,1,93.27,2.37,6,42.954198,-78.828578,197.9,125,3
53,0,1,95.25,2.39,6,42.954212,-78.828604,197.9,127,3
54,0,1,95.25,2.42,6,42.954225,-78.828632,197.8,127,3
55,0,1,95.25,2.44,6,42.954237,-78.828662,197.8,129,2
56,0,1,97.54,2.47,6,42.954248,-78.828692,197.8,130,3
57,0,1,102.41,2.48,7,42.954259,-78.828723,197.7,131,3
58,0,1,104.75,2.49,7,42.95427,-78.828752,197.7,132,2
59,0,1,107.11,2.49,7,42.954281,-78.82878,197.7,132,3
60,0,1,110.91,2.5,7,42.954292,-78.828806,197.6,134,3
61,0,1,113.29,2.49,8,42.954305,-78.828829,197.6,132,3
62,0,1,118.11,2.5,8,42.954317,-78.82885,197.5,130,3
63,0,1,123.53,2.5,8,42.954331,-78.828868,197.5,132,2
64,0,1,126.49,2.5,9,42.954345,-78.828885,197.4,132,3
65,0,1,128.84,2.49,9,42.95436,-78.828899,197.4,131,3
66,0,1,131.32,2.49,9,42.954375,-78.828912,197.3,133,2
