time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.95424,-78.833673,192.4,71,0
1,0,1,1.88,1.17,0,42.954248,-78.833692,192.4,72,0
2,0,1,4.02,1.29,0,42.954254,-78.833714,192.3,72,0
3,0,1,6.3,1.48,0,42.954259,-78.833737,192.3,72,0
4,0,1,8.63,1.72,0,42.954263,-78.833762,192.3,72,0
5,0,1,11.0,1.9,0,42.954265,-78.833788,192.2,73,8
6,0,1,13.41,2.01,1,42.954268,-78.833815,192.2,73,3
7,0,1,15.84,2.11,1,42.954269,-78.833844,192.2,74,3
8,0,1,18.31,2.16,1,42.95427,-78.833873,192.1,76,3
9,0,1,20.81,2.26,1,42.95427,-78.833903,192.1,77,2
10,0,1,23.34,2.34,1,42.95427,-78.833934,192.1,80,3
11,0,1,25.91,2.42,2,42.954269,-78.833965,192.1,85,3
12,0,1,28.52,2.54,2,42.954269,-78.833996,192.0,87,3
13,0,1,31.14,2.6,2,42.954268,-78.834027,192.0,89,3
14,0,1,33.75,2.56,2,42.954267,-78.834058,192.0,91,3
15,0,1,36.33,2.37,2,42.954267,-78.834089,192.0,91,2
16,0,1,38.88,2.19,3,42.954266,-78.834119,191.9,94,3
17,0,1,41.39,2.02,3,42.954266,-78.834148,191.9,93,3
18,0,1,43.9,1.89,3,42.954267,-78.834177,191.9,96,3
19,0,1,46.41,1.94,3,42.954268,-78.834205,191.8,98,3
20,0,1,48.91,2.07,4,42.95427,-78.834231,191.8,99,2
21,0,1,51.39,2.08,4,42.954273,-78.834258,191.7,98,3
22,0,1,53.87,2.04,4,42.954279,-78.834283,191.6,100,3
23,0,1,56.35,2.05,4,42.954286,-78.83431,191.6,102,3
24,0,1,58.83,2.14,4,42.954296,-78.834336,191.5,106,3
25,0,1,61.32,2.21,5,42.954309,-78.834363,191.5,108,2
26,0,1,63.81,2.29,5,42.954323,-78.83439,191.4,108,3
27,0,1,66.29,2.35,5,42.954338,-78.834418,191.4,108,3
28,0,1,68.78,2.4,5,42.954351,-78.834446,191.3,109,3
29,0,1,71.27,2.44,5,42.954363,-78.834474,191.3,110,3
30,0,1,73.75,2.46,6,42.954371,-78.834503,191.2,109,2
31,0,1,76.24,2.46,6,42.954374,-78.834532,191.2,110,3
