time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,42.954234,-78.832415,192.9,84,0
1,0,1,0.0,0.0,0,42.954222,-78.832439,192.9,84,0
2,0,1,2.12,1.49,0,42.954212,-78.832463,192.9,85,0
3,0,1,4.44,1.58,0,42.954203,-78.832487,192.9,85,0
4,0,1,6.8,1.74,0,42.954195,-78.832511,192.9,84,0
5,0,1,9.2,1.92,0,42.954189,-78.832535,192.9,85,0
6,0,1,11.61,2.07,0,42.954184,-78.832559,193.0,86,8
7,0,1,14.01,2.08,1,42.95418,-78.832583,193.0,87,3
8,0,1,16.42,2.09,1,42.954177,-78.832607,193.0,87,3
9,0,1,18.8,2.07,1,42.954175,-78.832631,193.0,88,2
10,0,1,21.17,2.02,1,42.954174,-78.832656,193.0,91,3
11,0,1,23.5,1.97,2,42.954173,-78.83268,193.0,92,2
12,0,1,25.8,1.87,2,42.954174,-78.832705,193.0,92,3
13,0,1,28.08,1.81,2,42.954175,-78.83273,193.0,92,2
14,0,1,30.36,1.82,2,42.954176,-78.832755,193.0,93,3
15,0,1,32.62,1.87,2,42.954179,-78.83278,193.0,94,3
16,0,1,34.89,1.94,2,42.954181,-78.832806,193.0,95,2
17,0,1,37.14,1.96,3,42.954184,-78.832831,193.0,96,3
18,0,1,39.4,1.94,3,42.954187,-78.832857,192.9,97,2
19,0,1,41.67,2.0,3,42.954191,-78.832883,192.9,98,3
20,0,1,43.94,2.03,3,42.954194,-78.83291,192.9,96,3
21,0,1,46.22,1.98,3,42.954198,-78.832936,192.9,101,2
22,0,1,48.53,2.04,4,42.954201,-78.832963,192.9,103,3
23,0,1,50.84,2.14,4,42.954205,-78.83299,192.9,103,2
24,0,1,53.15,2.13,4,42.954208,-78.833018,192.9,102,3
25,0,1,55.46,2.15,4,42.954211,-78.833046,192.9,103,3
26,0,1,57.78,2.18,4,42.954213,-78.833074,192.9,104,2
27,0,1,60.09,2.21,5,42.954216,-78.833103,192.8,105,3
28,0,1,62.41,2.22,5,42.954217,-78.833132,192.8,107,3
29,0,1,64.73,2.24,5,42.954219,-78.833161,192.8,107,2
30,0,1,67.05,2.25,5,42.95422,-78.833191,192.8,108,3
31,0,1,69.36,2.25,5,42.95422,-78.833221,192.8,106,3
32,0,1,71.68,2.27,6,42.954219,-78.833252,192.8,106,2
33,0,1,74.0,2.28,6,42.954218,-78.833284,192.8,105,3
34,0,1,76.32,2.28,6,42.954216,-78.833316,192.8,107,2
35,0,1,78.64,2.29,6,42.954213,-78.833348,192.8,108,3
36,0,1,80.96,2.3,6,42.95421,-78.833382,192.8,110,3
37,0,1,83.28,2.32,7,42.954205,-78.833416,192.8,111,2
38,0,1,85.6,2.34,7,42.954199,-78.833451,192.8,113,3
39,0,1,87.92,2.37,7,42.954194,-78.833486,192.7,115,3
40,0,1,90.24,2.42,7,42.954189,-78.833523,192.7,116,3
41,0,1,92.57,2.46,7,42.954186,-78.833561,192.7,116,3
42,0,1,94.89,2.51,8,42.954186,-78.833601,192.6,118,2
43,0,1,97.22,2.56,8,42.954188,-78.833642,192.6,119,3
44,0,1,99.54,2.61,8,42.954195,-78.833685,192.5,117,3
45,0,1,102.06,2.71,8,42.954203,-78.833728,192.4,117,3
46,0,1,104.72,2.71,8,42.954212,-78.83377,192.4,118,3
47,0,1,107.46,2.7,9,42.954217,-78.833809,192.3,118,2
48,0,1,110.24,2.7,9,42.954217,-78.833843,192.3,118,3
49,0,1,112.96,2.7,9,42.95421,-78.833871,192.3,118,3
50,0,1,115.67,2.71,9,42.954195,-78.833893,192.3,118,3
51,0,1,127.81,2.71,10,42.954175,-78.833911,192.3,118,3
52,0,1,130.76,2.71,10,42.954154,-78.833932,192.3,119,2
53,0,1,133.95,2.71,10,42.954137,-78.833959,192.3,120,3
54,0,1,137.66,2.74,11,42.954129,-78.833995,192.2,122,3
55,0,1,141.28,2.75,11,42.954128,-78.834038,192.2,122,3
56,0,1,141.28,2.76,11,42.954133,-78.834081,192.1,125,3
57,0,1,141.28,2.76,11,42.954142,-78.834121,192.1,124,3
58,0,1,144.74,2.77,11,42.954153,-78.834157,192.0,125,3
59,0,1,147.57,2.77,11,42.954168,-78.834189,191.9,126,3
60,0,1,150.36,2.77,12,42.954184,-78.83422,191.9,127,2
61,0,1,150.36,2.77,12,42.954201,-78.834249,191.8,128,3
62,0,1,150.36,2.77,12,42.954219,-78.834277,191.7,131,3
63,0,1,153.86,2.78,12,42.954237,-78.834304,191.6,131,3
64,0,1,158.98,2.79,12,42.954254,-78.834332,191.6,131,3
65,0,1,162.14,2.79,12,42.954271,-78.83436,191.5,132,3
66,0,1,165.24,2.77,13,42.954287,-78.834388,191.4,132,2
67,0,1,169.49,2.79,13,42.954302,-78.834418,191.4,134,3
68,0,1,172.59,2.8,13,42.954315,-78.834447,191.3,134,3
69,0,1,175.95,2.8,14,42.954326,-78.834478,191.3,132,3
70,0,1,178.06,2.77,14,42.954335,-78.834509,191.2,132,2
71,0,1,186.36,2.76,14,42.954342,-78.834541,191.2,130,3
72,0,1,190.2,2.79,14,42.954346,-78.834572,191.1,130,3
73,0,1,192.89,2.8,15,42.954348,-78.834603,191.1,130,3
74,0,1,195.47,2.81,15,42.954347,-78.834633,191.0,132,3
75,0,1,198.04,2.77,15,42.954343,-78.834661,191.0,132,2
76,0,1,200.68,2.76,15,42.954336,-78.834688,190.9,132,3
77,0,1,203.28,2.77,16,42.954326,-78.834712,190.9,132,3
78,0,1,203.28,2.77,16,42.954313,-78.834733,190.8,134,3
79,0,1,203.28,2.72,16,42.954299,-78.834751,190.8,133,2
80,0,1,205.62,2.73,16,42.954282,-78.834765,190.7,134,3
81,0,1,207.31,2.73,16,42.954264,-78.834775,190.7,133,3
82,0,1,210.16,2.74,16,42.954244,-78.83478,190.6,133,3
83,0,1,213.57,2.74,16,42.954222,-78.834782,190.6,134,3
84,0,1,218.63,2.75,17,42.9542,-78.83478,190.6,134,3
85,0,1,221.93,2.75,17,42.954178,-78.834776,190.6,133,2
86,0,1,224.63,2.76,17,42.954155,-78.834769,190.6,132,3
87,0,1,227.12,2.77,17,42.954133,-78.834759,190.6,133,3
88,0,1,229.32,2.77,18,42.95411,-78.834748,190.7,133,3
89,0,1,232.19,2.78,18,42.954088,-78.834735,190.7,133,3
90,0,1,234.85,2.78,18,42.954066,-78.834721,190.7,131,2
91,0,1,237.55,2.78,18,42.954044,-78.834705,190.8,131,3
92,0,1,240.62,2.78,18,42.954023,-78.834689,190.9,130,3
93,0,1,243.79,2.78,19,42.954002,-78.834673,190.9,130,3
94,0,1,246.78,2.78,19,42.953981,-78.834656,191.0,130,3
95,0,1,249.43,2.78,19,42.95396,-78.834639,191.0,129,2
96,0,1,251.89,2.78,19,42.95394,-78.834623,191.1,130,3
97,0,1,254.34,2.78,20,42.95392,-78.834608,191.1,129,3
98,0,1,257.0,2.78,20,42.953901,-78.834594,191.1,129,3
99,0,1,258.99,2.83,20,42.953882,-78.83458,191.2,130,3
100,0,1,261.14,2.78,20,42.953863,-78.834568,191.2,130,2
101,0,1,263.5,2.78,20,42.953844,-78.834557,191.2,130,3
102,0,1,265.83,2.77,21,42.953825,-78.834546,191.3,129,3
103,0,1,268.11,2.77,21,42.953804,-78.834536,191.3,128,3
104,0,1,270.65,2.76,21,42.953783,-78.834526,191.3,128,2
105,0,1,273.28,2.76,21,42.953761,-78.834515,191.4,129,3
106,0,1,275.97,2.77,21,42.953736,-78.834504,191.4,130,3
107,0,1,279.08,2.76,22,42.953711,-78.834492,191.4,131,2
108,0,1,282.52,2.75,22,42.953685,-78.83448,191.5,130,3
109,0,1,285.97,2.74,22,42.953659,-78.834468,191.5,130,3
110,0,1,288.46,2.75,22,42.953633,-78.834456,191.5,129,3
111,0,1,290.85,2.75,23,42.953608,-78.834443,191.6,128,3
112,0,1,290.85,2.73,23,42.953583,-78.83443,191.6,127,2
113,0,1,290.85,2.72,23,42.953559,-78.834418,191.6,127,3
114,0,1,293.41,2.71,23,42.953536,-78.834405,191.6,127,3
115,0,1,295.94,2.74,23,42.953514,-78.834392,191.7,129,3
116,0,1,298.4,2.72,23,42.953492,-78.834379,191.7,133,2
117,0,1,298.4,2.71,23,42.953471,-78.834366,191.7,132,3
118,0,1,298.4,2.7,23,42.953449,-78.834353,191.7,130,3
119,0,1,300.77,2.7,23,42.953428,-78.83434,191.8,130,3
120,0,1,309.7,2.7,24,42.953407,-78.834327,191.8,130,2
121,0,1,312.06,2.7,24,42.953385,-78.834314,191.8,129,3
122,0,1,314.6,2.7,24,42.953363,-78.834301,191.8,130,3
123,0,1,319.41,2.7,25,42.95334,-78.834289,191.9,128,3
124,0,1,322.04,2.75,25,42.953317,-78.834276,191.9,131,3
125,0,1,324.52,2.7,25,42.953293,-78.834264,191.8,131,2
126,0,1,327.02,2.7,25,42.953269,-78.834251,191.8,130,3
127,0,1,329.73,2.75,26,42.953244,-78.834239,191.8,130,3
128,0,1,329.73,2.75,26,42.95322,-78.834227,191.8,129,3
129,0,1,329.73,2.7,26,42.953195,-78.834215,191.8,131,2
130,0,1,332.52,2.7,26,42.95317,-78.834203,191.8,132,3
131,0,1,340.55,2.7,26,42.953146,-78.83419,191.8,134,3
132,0,1,343.36,2.75,27,42.953122,-78.834178,191.7,133,3
133,0,1,345.89,2.75,27,42.953099,-78.834165,191.7,132,3
134,0,1,349.19,2.75,27,42.953077,-78.834153,191.7,130,3
135,0,1,351.77,2.7,27,42.953055,-78.83414,191.7,131,2
136,0,1,354.38,2.75,27,42.953034,-78.834127,191.8,130,3
137,0,1,356.83,2.75,28,42.953014,-78.834114,191.8,130,3
138,0,1,359.16,2.75,28,42.952995,-78.8341,191.8,130,3
139,0,1,359.16,2.7,28,42.952976,-78.834087,191.8,130,2
140,0,1,359.16,2.75,28,42.952957,-78.834073,191.8,130,3
141,0,1,361.39,2.75,28,42.952939,-78.83406,191.8,132,3
142,0,1,363.34,2.74,28,42.952922,-78.834046,191.9,131,3
143,0,1,365.38,2.7,28,42.952904,-78.834033,191.9,131,2
144,0,1,369.38,2.69,29,42.952886,-78.834019,191.9,131,3
145,0,1,371.22,2.74,29,42.952868,-78.834006,191.9,132,3
